instance_id;x;y
nauty-12_0;-0.13633;0.12467
nauty-12_1;-0.10835;0.05773
nauty-12_2;-0.17294;0.05414
nauty-12_3;-0.21605;0.1469
nauty-12_4;-0.14282;0.13935
nauty-12_5;-0.18511;0.18216
nauty-12_6;-0.08184;0.02882
nauty-12_7;-0.07955;0.11606
nauty-12_8;-0.23195;0.01876
nauty-12_9;-0.04607;0.09249
nauty-12_10;-0.18887;0.09137
nauty-12_11;0.05924;0.16918
nauty-12_12;0.05582;0.02812
nauty-12_13;0.10051;-0.02401
nauty-12_14;-0.03112;0.05995
nauty-12_15;-0.18045;0.1506
nauty-12_16;-0.16292;0.04241
nauty-12_17;-0.12635;0.09436
nauty-12_18;-0.02072;0.01701
nauty-12_19;-0.08696;0.16274
nauty-12_20;-0.04029;0.1412
nauty-12_21;-0.16354;0.09535
nauty-12_22;-0.15326;0.11974
nauty-12_23;-0.26092;0.15135
nauty-12_24;-0.20136;0.22995
nauty-12_25;-0.1312;0.07595
nauty-12_26;-0.13721;0.15598
nauty-12_27;-0.22754;0.0593
nauty-12_28;-0.26904;0.04153
nauty-12_29;0.00198;-0.01538
nauty-12_30;-0.26803;0.26062
nauty-12_31;0.0866;0.02019
nauty-12_32;0.09399;-0.04316
nauty-12_33;-0.20118;0.17596
nauty-12_34;0.00258;0.08778
nauty-12_35;-0.13706;0.25293
nauty-12_36;-0.17221;0.09652
nauty-12_37;-0.22103;0.24089
nauty-12_38;0.03518;0.00342
nauty-12_39;-0.02402;0.10749
nauty-12_40;-0.04656;0.00893
nauty-12_41;-0.04584;0.04163
nauty-12_42;-0.13962;0.11493
nauty-12_43;-0.22598;0.02944
nauty-12_44;0.03084;0.08095
nauty-12_45;-0.14855;0.10566
nauty-12_46;0.03626;0.10477
nauty-12_47;-0.22421;-0.02804
nauty-12_48;-0.23212;0.12011
nauty-12_49;-0.04657;0.11874
nauty-12_50;-0.09507;0.02197
nauty-12_51;-0.24877;0.05194
nauty-12_52;-0.01366;0.08108
nauty-12_53;0.01539;-0.01009
nauty-12_54;-0.05883;-0.00462
nauty-12_55;-0.20192;0.05011
nauty-12_56;-0.07598;0.01947
nauty-12_57;0.11016;-0.19945
nauty-12_58;-0.15578;0.04805
nauty-12_59;-0.02586;0.09158
nauty-12_60;0.04343;0.02561
nauty-12_61;-0.18191;0.19035
nauty-12_62;-0.19954;0.1022
nauty-12_63;-0.08729;0.12874
nauty-12_64;-0.14651;0.00885
nauty-12_65;-0.11611;0.20348
nauty-12_66;-0.05767;-0.03738
nauty-12_67;-0.21343;0.24104
nauty-12_68;0.01305;-0.067
nauty-12_69;-0.06599;0.11475
nauty-12_70;-0.08335;-0.1131
nauty-12_71;-0.13996;0.05148
nauty-12_72;-0.18522;0.02533
nauty-12_73;-0.01371;-0.10095
nauty-12_74;-0.09869;0.0104
nauty-12_75;-0.09259;0.08499
nauty-12_76;-0.01335;0.07208
nauty-12_77;-0.25814;0.00657
nauty-12_78;-0.0377;0.06331
nauty-12_79;-0.25352;0.06878
nauty-12_80;-0.11788;-0.0123
nauty-12_81;-0.23095;0.18239
nauty-12_82;0.02233;0.0703
nauty-12_83;0.04322;0.09177
nauty-12_84;-0.1376;0.06206
nauty-12_85;-0.15232;0.12954
nauty-12_86;-0.09743;0.24001
nauty-12_87;0.09076;0.17629
nauty-12_88;-0.00121;0.13651
nauty-12_89;-0.25941;0.15351
nauty-12_90;-0.2043;0.08678
nauty-12_91;-0.06726;-0.03861
nauty-12_92;-0.22807;0.12644
nauty-12_93;-0.18858;0.0949
nauty-12_94;-0.22448;0.19191
nauty-12_95;-0.19214;0.17809
nauty-12_96;-0.09503;0.10398
nauty-12_97;0.09142;-0.01505
nauty-12_98;-0.21775;0.12314
nauty-12_99;-0.10475;-0.0253
nba_2000-01_regular_season_0;0.13527;0.01706
nba_2000-01_regular_season_0_1;0.18645;-0.03884
nba_2000-01_regular_season_0_1_2;0.103;-0.17861
nba_2000-01_regular_season_0_1_2_3;0.31551;0.08893
nba_2001-02_regular_season_0;-0.0173;-0.15668
nba_2001-02_regular_season_0_1;0.01592;-0.13082
nba_2001-02_regular_season_0_1_2;-0.01143;-0.13753
nba_2001-02_regular_season_0_1_2_3;0.03595;-0.15884
nba_2002-03_regular_season_0;0.14111;-0.18557
nba_2002-03_regular_season_0_1;0.13681;-0.14101
nba_2002-03_regular_season_0_1_2;-0.10674;-0.06957
nba_2002-03_regular_season_0_1_2_3;0.14626;0.02038
nba_2003-04_regular_season_0;0.19215;-0.00961
nba_2003-04_regular_season_0_1;0.18254;-0.05562
nba_2003-04_regular_season_0_1_2;0.06954;-0.23743
nba_2003-04_regular_season_0_1_2_3;0.06523;-0.12984
nba_2004-05_regular_season_0;0.18321;0.08247
nba_2004-05_regular_season_0_1;-0.02649;-0.19021
nba_2004-05_regular_season_0_1_2;0.16537;0.00651
nba_2004-05_regular_season_0_1_2_3;0.06809;-0.04985
nba_2005-06_regular_season_0;0.17763;-0.06592
nba_2005-06_regular_season_0_1;0.05658;-0.04831
nba_2005-06_regular_season_0_1_2;0.02366;-0.01569
